Address,Stake (Luna),Points
NQ29 B1S6 GDDY M6FJ V310 3V8M GGBE 8LYE 48QB,21294837573,1908
NQ29 DNFH 73CB L8V9 BERA CQUH YPY8 4S76 T7AU,1570342248,90
NQ29 FBQ5 J4PS P3E5 GCDD G645 8PCB XCTT U8T2,1000000000000,90000
NQ29 GE8F 6NTM 1AE3 7E52 S9XQ 8NFT QQ5K VEUX,1685046038876,140000
NQ29 JUBB U5LR HHB8 6DHQ PG6L B6YP Y7EJ HVMS,2045317261,80
NQ29 KEPS NF4C NXFJ 5MUC Y7LQ 4N2C 5JU3 A0P5,4031200000,320
NQ29 SC9E HU7C XXQP YM43 9GB8 607U JHJ7 GE3X,826180000000,114561.5
NQ29 X9HM 293G 6SFQ CJDS 083C GE2Y 0XAC 2XDV,58954876037,2388
NQ29 XYRS 7BXP YBSC V3HY QKKE UCR1 Q6G6 A2L8,1330447679,78
NQ29 YHEE 38AQ R8FJ K1MJ 4NMF 4TQA E62R 1RQR,65344600000,5877
NQ30 3KP4 DYSB SE90 YTEF XEV2 4A9A KDGU 7AA4,6338410369,472.5
NQ30 3U4J XBLP FSY1 J3BH KX9A E64V N8BL K952,250000000000,25000
NQ30 5GN1 BNH9 EXUQ J4CK 3B2Q FGX3 T8LR FUCL,998476109,47.5
NQ30 5V9A LR77 DUP0 XMDQ V97J QR1R QNKY RDBF,1415244571722,50968.5
NQ30 6SSL EV5T 5UTR KLMK G161 33S7 5HQL K6F3,52621609954,3156
NQ30 9LVK J5K3 V0R2 PYNR 99DL VG4L 3E1D 7T27,10000000000,1400
NQ30 9VVP 25JN 1744 7KDK 5HUL N35T 0SF2 B94V,100000700000,9000
NQ30 ALA8 HQK8 N8EY C92G PTN9 1BSQ XY57 9DJJ,258551500000,36190
NQ30 EQ4J K70L NKYP 5H55 XV87 P96S TVA1 6EUV,44785118895,4023
NQ30 FFQU A9N5 DPS9 3CXM H9L0 XLXA Q8VK 2Y73,225010954724,20250
NQ30 JERJ RP1X 00BG E6KC KCTY C99R 2XH6 9D12,427681599,36
NQ30 KT4U S1TU 4YS5 BM5M DECE 9368 T4C2 K2Y7,285941657941,24814.5
NQ30 LHVU 8YNS LSLP YEKN 6QV8 NY0S 67SY 6YFA,100000000000,9000
NQ30 NH37 XDGR T719 DR3K 6PSN UBEA L9P3 YR20,1245412768,96
NQ30 R8BL YDPG 6JXM 0G65 9F37 FCTT V358 503U,10024598279,550
NQ30 RCHS PD9R V0YJ QQHV 7FKU DEMU Q01N 2XPH,1319127128,104
NQ30 YKBJ 5JVP YX48 3AQF L4R1 QTPL 7ERK JR6N,500000000000,20000
NQ31 8Y9D 112R LUS2 2BLM YCC7 V379 C627 PED4,150000000000,11250
NQ31 EDPK 022Y TJGC QX0D 95C7 HGNN 1M2S 7HXG,474157147157,42669
NQ31 H4HB LJTH PMQ6 7V2G S6C6 BKCP YF71 A4MK,28418200802,2214
NQ31 J3QV B81H 9N96 6URC MSG2 MT4K TP1N 5HA5,2013328057,240
NQ31 TGGG VXP2 2AG6 FRF4 3ULQ S6P8 JE6U PRY0,87984093000,7911
NQ32 0UAE LJMK HJ9X 1T9S ASSF AANB Y2AD 40PP,32304040174110,30000
NQ32 4AKM MPVQ 61FF MRF1 LBVL 8963 6GAC 8GPM,34014577882,3060
NQ32 4KJ9 FNQN 3TSA E0F1 3U26 TASR EFGG RR3B,1010064417808,54320
NQ32 6K2Q DMUY 8UEQ SJMX C9FT 3K4X DPJK 0AVF,1214268189,108
NQ32 8VDT BJ8A U47R Q9MV 247Y 6JC1 PPPH 4YG8,5566800000,137.5
NQ32 983N JLKG B9AB EV14 DGSN VFXN 26RE DMQR,1711599999,127.5
NQ32 B809 533A K5B0 MQ0A 9G5K B6QY EC02 00TR,200000000000,18000
NQ32 CDNS MNA9 8X2E D9XY 161A FEV6 V4FF ESYK,378268570700,34038
NQ32 JQ8J 8E67 D3QY 5XHY 514D 421A 6D0B 2GDU,100000000,0
NQ32 LUCR F763 M2PE RCM1 UUHG MFKK EAPS 9BBL,14608964328165,90000
NQ32 QMP2 H2XF 6FCC 7VNS YVKJ AUG2 RAC1 S7Y3,49742839855,3727.5
NQ32 UGJ8 J90S UNHA H1MN V55B KT39 B371 816R,1000000000000,90000
NQ32 V2GU PH2U EKNJ 2801 R8LB MAXY YTGG SCG7,19251209699,1728
NQ32 VSYV PYTQ T4B7 DJKH KX8V 2NJS V4L1 67DT,787918267344,70911
NQ33 2V42 D22S FQNS TDH5 BTKG 6REK R6SL R0Y5,1614800000,37.5
NQ33 99D8 P699 6X12 7TU3 AKB6 EPNY DRTS 30V9,59227477438,5328
NQ33 CAYQ 3XQH PLMU VLKM D9E8 NM0J L90F L5DC,15515903801,1395
NQ33 K2XC VMQN Y8UR 4F0U KJQS CULN 1LS8 8D9D,11643815281,464
NQ33 KPLS BRQP DBVJ S7UD LVVE L6LM E8AC JYDC,100120000000,4009
NQ33 PNKG 114L UBLA Y9MM ED66 T1SV H7ND 7Y3S,100000000000,4000
NQ33 QY8Q BVSJ PTA0 HREN Y99U 8RRB TFF5 VCJC,200000000,12
NQ33 R6YJ 0CA9 1C9L 2T7G NJFQ TPT5 KKRV 7PEX,8268039851491,140000
NQ33 THJB BHQB Y0EG 4C2N CAR0 9V4U DS3E AQY0,30849052303,2772
NQ33 VAPS 89M0 YSAK KY8G 2YTP EAY1 KNBJ E7X0,33377836410,2497.5
NQ33 X4P2 281F NL13 0Y18 LHKQ MN72 2QUT N82J,163082157950,9780
NQ34 0EDX LRBT S2Y8 892N 4PHM 20C3 SYVA 2QVP,838942088103,75501
NQ34 1GSQ 4TS2 MEEG 1QQV S36P RQKY 20EN 0BB9,7004994966,280
NQ34 33GL B7VM RXKV JBBP 434T LE8U K6L4 18PS,1002608009999,90000
NQ34 BMS5 Y763 KAS1 QS6M 4KU4 RMDD HBEE MSN4,100019099724,9000
NQ34 BYFM N1AQ 2T9A KT3T XXNP J1YL 2HKD HV9N,200005000000,18000
NQ34 C326 626J NV40 8XCG XC88 5D29 FVYU S702,156569600000,14085
NQ34 HLQ3 SSFD PNQ3 QUFU C80U 4C3P AMRC 5049,5555500000,495
NQ34 HSQ1 N6SK FH9Y K2AY YL01 A008 NS67 7QQ2,20000000000,1600
NQ34 V04G S10G 6DHK JPNQ GG1R TE7Q CQRM TAFM,13259400000,1188
NQ34 VP6N N51F L7SP EDCH PSPJ G01X 5JM4 XA7C,100000000000,6000
NQ35 FTF6 T5XN KBCU NSMU RNV4 QBKA K4M6 B3X8,1000000000000,40000
NQ35 K7EB LHSN 6MDE J4YK 4RTQ MJYB JVP5 4GG4,14853900000,1332
NQ35 M14V VMFQ 22UJ THKH XTXT 7G6E 8V3B RYSS,30000000000,1200
NQ35 NNR5 MH6A 327E 9V0N 4JBH 26DC FTV6 V1PD,50663200000,3036
NQ35 NVE8 AAXH 6K6S M4A7 C61C 9TT6 FU00 J1K2,114109879359,4564
NQ35 THK1 4XQN YLQC 63RX FT5U BCTM N09F GLA7,14291200000,355
NQ35 TMA2 HP4S H4H3 VUJU JUKL AY9C HNAN 5VUB,51282369383,2048
NQ35 Y43B 2F21 HYH2 T4AB MGMN CBY2 BLD1 95SR,10091700000,800
NQ36 49KD E7NP DLA5 TDLN D2YB DUV4 BHMC MNQG,300000001714,27000
NQ36 9JDN KMU3 K2G8 TNJ3 0N63 BMHF UQ6Q MT3J,7000000000,525
NQ36 BDM8 N6AX V68R 09UB X2AR K8C0 JQDC 4DBA,150661902240,11295
NQ36 DET8 6HBY JUN8 HJE4 3C2G 34UH 4MGH ESTJ,42946646439,3852
NQ36 KC6Q 4UJC 637X 5463 1PQP VX3S DAJK J2US,20209094836,1818
NQ36 KV98 5P81 10FK DRBJ 46PP GSJY KDTS 80G2,3239551239246,90000
NQ36 Q7LE 88GJ 64JX XYDT YVL4 7F8X BXG2 PANM,117938600000,10611
NQ36 RCHG VYVL 8N4H FV1C 4DTQ QYHX YDX4 6SRC,9992000000,891
NQ36 UX3X 220Y 6UQX 57MU XUQ9 YQ2D UU77 T8PB,1223174605,82.5
NQ36 YVGR N6S0 6U2Y 9819 5GLR JRP1 XCT5 J48Y,1902500000,152
NQ37 23BP QR50 DXB3 JDQN 9VGD 3DQ3 9D5E C70X,11000000000,1540
NQ37 28T0 YJC2 R3NX 8Y62 XTBA 9JX2 FHGN 9FXF,4833285738,257
NQ37 2BBM U6NY S9HJ HSBX L4G4 BKHQ C140 YQ6U,111476000003,9912
NQ37 4XTC UXC1 9DXT PG9Y LVHC 2XTP M00G JS5R,4049500000,300
NQ37 8RQK JL6L TLUQ 5S7R 5D2R XV69 K5Q8 UN4M,24864708849,1984
NQ37 A8H0 7PMK LL83 QK9D RQL8 FV67 BF1U KXLD,40822324760,3060
NQ37 BFCA BEPQ DR72 DG75 JFDU NQKC PQ8J Y7J1,19042300000,760
NQ37 K4AE 3PB2 YL35 VN0H 1SG4 FG8P YK90 JCU0,1903600000,76
NQ37 L011 MLKG X4LK PPCC Y84K A539 58CG FL0D,11730028991,351
NQ37 LA6T A2BQ H59Q N2BK MDQM 70YB ANPE 9TCM,56537066142,5085
NQ37 ND1R 7LLV 86MJ MATB 58DH U8AP RPDV YBE4,3485667748,306
NQ37 PB71 7F49 7KM6 DBGB S62K JM2L JV6F 53KL,127372253,0
NQ37 PXUH RG79 0ANE QA0G 7X05 XSRJ 7US1 1FF4,3829007738,285
NQ37 TLQ8 0BE9 PU27 JAM3 ULPX A4U6 K2SR 7PYB,17169747619,1881
NQ38 0J97 S9UC HANU XXYS 006E 8CQQ 562N EN7Q,2079768768,120
NQ38 0K2V 8DBE HSC3 GFB4 12PY E03L R1QY 06P5,1000000000,75
NQ38 AU4H YEPN XCHL PBYD PF4C EYMC C92H RHEJ,603201774,1
NQ38 DTUA BGC7 F4AD JFVM Q7PV TS4E 85AX 0JHS,3125757160,279
NQ38 FUYH K8JJ PK8H 93L8 GTGV XPA8 SQK9 QLRA,724061818559,43434
NQ38 H7C8 GYK3 QN8Y QYGP EHFB EJ9U SCVP RFM9,26438800000,2376
NQ38 MS5A STFA 4GPC VHJD 8HL3 SQV5 Q4Q7 8YK0,102099832772,6120
NQ38 PJXH NKEN 7Q4Q 7K0A 19U2 QQ82 72HM 5M3T,41828074456,3753
NQ38 SDPG REC3 USTA LLCT 87GQ TCUY FH5L 6PCQ,90990380504,8181
NQ38 SSRJ CATK 3X08 3N6L H9T7 V3PJ 6V8R SYL5,509395634550,45837
NQ38 YPXQ 0UX4 J60C 7Q54 SA1S D6QG PU9M DUPA,11215320390,888
NQ38 YQCK EXK5 7HQT QXQE YU1A XDMD VL8N 44K5,88900000000,7983
NQ39 A6E6 GG7D JYHG F9EH UJQY RUCV MUS3 CP53,152546754797,13725
NQ39 DFR7 UPJU MT8B 4QK0 M333 HAHU 4DE2 HGP3,100000500000,9000
NQ39 KG92 LDXS 0807 UJQM R39H FMJP XCSC GBHB,375900000000,52598
NQ39 LY1L 1X40 J9VV 3T8F KJHU 3ECE RMM4 GFKC,2179599820,84
NQ39 MG54 KN5V AC67 KVB8 316J GB5S TD41 9BFJ,1282234334220,90000
NQ39 SEGP TVQQ UJLB EEJN 4PPM CCN6 AC0X 6NTH,394542588,22.5
NQ39 VDB1 JNBE 5VYG 8X99 66CL V9B4 FG8H XXA6,800000000,100
NQ39 X2UV 3DA7 0NEX GUSC LSS5 RHR7 T3VK 6XB6,5672700000,336
NQ39 XD2F VTNY JB13 US94 P8RJ E39K 0U9X 6P3B,10000000,0
NQ39 XV69 5JMN KKRA J8XL UAE7 2TQP B2Y6 14XR,1674100000,144
NQ40 5M7V A3GA 4E0L D4FK FQD4 TY7L U8Q8 87TC,70980496398,6381
NQ40 7P1X 9AX2 KHJ5 XN2B 8GUA B6TS 6RFV S4RN,10472723697,936
NQ40 BR7G 6MAG 85RP 97FP 00KV JMQ0 F4TG 7EGJ,361707575954,28679
NQ40 CEB5 9JYG G5HP B6SG 00CN 7NFG R10U 4E9J,1000000000000,90000
NQ40 FC4D HAT6 9N1H P52H P4FX QL8P CE6Y 10VT,50129445365,3128.5
NQ40 PMKL JMCV JUCN 5709 GBXV 0440 RXT1 9YFM,30871060286,2464
NQ40 S3EL 356F 0CT2 T5KJ 78MA SX7H 2J5F ULMK,10006620263,750
NQ40 S522 CCAT PXJ9 MHAR J9F5 QP6H KVSE TKE1,500999400000,20036
NQ40 T8LG 447E FEAM GX6Y YR55 F00M RDEM 1V7L,35275013940,4224
NQ41 045S 5QTE BVQ6 D5MH FNS3 27MV UF5U 11Y3,19879510000,1477.5
NQ41 06KP DX2L V25J 9B0P 0CPM 7QU2 AMVY 2JTX,105440072000,9486
NQ41 4QTF EY61 HEYC TMRB A22J KX3M VE5L DRB7,208919600000,18792
NQ41 5JU7 VV68 MQFB NRNY S9FC X4TS RL8A BYF7,69131221175,6219
NQ41 7LN6 JP2K M4PL LJ49 3FX5 UGJ2 S1U5 UFGN,1000000000,90
NQ41 7MM0 8TCR 44QJ FMLJ 6XXC 0CEF Q835 LEMP,49931581822,3742.5
NQ41 B42S H100 NX23 A1NS 72CC V7JY FHNT CFB8,99000000000,8910
NQ41 C4NV 813Y 1EEC 49UJ V7C7 P7GU 5X6B T8BT,27000000000,1076
NQ41 PSQC 8DD5 T8FT GP4E 1TN5 RT2J 8FNP NETN,38020000000,2020
NQ41 RLUN HMRV CRQJ 172D SHP9 EUGM C07R HTQN,5555500000,495
NQ41 SJPS STUJ KKX2 VUSJ NNA5 961P VAKJ B8VU,850000000000,119000
NQ41 VX20 TQB8 988M CRF3 NKGR S5FL F0B6 MS5C,11521777358,1035
NQ42 3FNX 5Y7F KVLM 70LR 3Q0V 99PR 0AYJ 0HYA,1000000000000,80000
NQ42 5E0N 0MAY XBY9 XPHA 4J92 3KNL TTY7 6NTJ,20000000000,1800
NQ42 5JKT 0G50 TC8Q XRAC 24FK NB2N 9SC6 UVFV,1000000000,60
NQ42 73KN V9HE 7C4X 7NQ3 8QTC LTBB MFKS 4DP4,46968924970,2814
NQ42 M5A7 T2XH CCAA 89SH P70E A3VU P0RK B73F,36909268533,3321
NQ42 SHJP B048 UN3G LN2Q C50M MXJ4 NMYE N8B3,39879728177,1592
NQ42 TTBG AA3A 3UN5 RKBH RP6L 1LCF G8TU ALXH,11442100000,855
NQ42 U6RG XDV3 SJRA LS61 3S2T NKY3 YDYB LEQQ,21796450146,1736
NQ43 1VV7 HXQG XLN5 VPJR URNX 3350 MUQF 5Q4N,18428900000,1472
NQ43 6BFS 0VK1 LRV0 DBSD ACG2 T26V JDR6 473N,24798808729,1482
NQ43 6GQV GE9B U9KR 53LB LNLN 32UB RN9E XNX2,800000014168,111836
NQ43 9PKM P19L G9C1 XHXG DK15 SG6P C3LD D4U0,53112829335,4779
NQ43 CMAK HFXM FFR8 V8RT D1FU JM10 ENQN SY75,1420100000,169
NQ43 GLJU 4FS7 K6YN J82B 6NCM PKU2 5TVF UQLU,13863600000,1242
NQ43 KLJB Q7FD CMNC 83HG 0TPE ESNK T0TT UN6M,1000000000000,80000
NQ43 NL2U U6A6 HE79 E8LR R9M2 21P2 G1UN D4HN,150000000000,12000
NQ43 P177 UVGL A5T5 0JSK JPR5 9MRN NLEV 4YX3,9500000000,855
NQ43 RQEE UYLU 7S7K RY6V 6F1D 08FS FBNE L9RV,10640373443,636
NQ43 SNHE LDQY EFNU 95L8 362K YCP6 H6N3 2BS8,10000000000,1100
NQ44 0PUG HGYJ VXV4 PHCJ 0XN8 LQKX ETPR VYQE,1000000000,90
NQ44 22HL 1AH9 J95X Q0X5 X8B4 7Y1X L722 XVX7,23909384420,2151
NQ44 6S2V NT44 995A BC79 98UC MYF9 96RH V0VH,10000000000,900
NQ44 9TTF CXMA 73FG V7UY PPV2 GAFN 6K1K 1J37,5016545992,600
NQ44 BYMX YD9J B0Q7 RT8F K4F2 HVNR GH92 820M,1000000000000,80000
NQ44 EXD3 HTHL BFSP D20F DDPE EUG4 HAAU D3V0,8362914607,320
NQ44 JCBJ RKPH LHQE LHY9 5YV6 TVQG XLY4 K55F,489900100000,68586
NQ44 JTPM EERE TAQJ UHSD H92M T57B UA8M TK4M,2090677205,80
NQ44 JY20 BM09 0AUN XYCB YPR6 76MX JH8E KKL6,100100000,14
NQ44 Y8E9 2066 8EML QREM B3DE G0PJ MY46 5QCY,22056879504,1980
NQ45 3QKR HJKX VAUK TA9J FCRM F0LV 7QBM 4PJA,221430818011,19917
NQ45 863E A6LS XJDT MYJE 8GT6 6AP6 VM6U E4UY,803383662160,60247.5
NQ45 8U45 AXUB D1Q5 0J0M 8DX3 0MBJ G0EQ YPH6,18279253811,1638
NQ45 B4R7 5YGQ 290R 0V29 1YMU LCTL LKD2 ER9H,20000122959,2800
NQ45 BFSL NCXP 023U 8GGF QFFJ CQTL EHPQ HQMC,15278850373,912
NQ45 CYST DX4E ER49 K76N U3VG 0Y1M PAHX R7S7,300100000000,27009
NQ45 D9YR PD27 GRRY KCPA JSC4 CPP7 0876 V9R5,101627051002,9144
NQ45 E4MD JTL9 V09Y 08FU BV32 87FM KJHE MMB6,50000000000,3750
NQ45 FJQ5 NA8E 5YGG VM8K SC0L GDVJ TUBH SJKF,64713894491,2588
NQ45 HUC7 MGG7 B9BQ JF8D 7TU8 FKJ5 18PH X3K3,15100060492,1359
NQ45 N5E9 7U6H VUT6 NGGC PXHN BRXA F86H JK4G,89212809586,8028
NQ45 N7G8 K3VJ TKLH MH60 3Q6D RY45 NP50 UC6Q,636829134929,47760
NQ45 QAPP P48T 95G6 7QH9 PKRR ADEN BQ34 6J7L,1000000000,75
NQ45 STMN LLL1 T6N2 AUSD HLLE 1VAX TB6D XAQE,22442807778,1680
NQ45 XKXT FP5H 6KVD VNSX PSHG ELLC XK2D FE80,775400000,63
NQ46 62G5 6M0R 9QFY AXTT EDMX 9QCH 0S28 C05V,16848999997,1512
NQ46 EMNJ 2489 AKRL V5KT B4CU SMRR 8LB4 QPM2,105444971780,7905
NQ46 GXPR MT9X MND2 L9KA 96K7 PJ8L BDPT CK9A,150000000000,13500
NQ46 JX1F KCGB MB9Q HQST PX3L P2RU 12M7 VGG1,10000000000,1400
NQ46 MLHA E7SU UEDS 340R DFLX HV8H 4CEL TMRM,289700000,8
NQ46 NR95 XUK9 7FGD G8T8 E9PT MUAX C4B8 M5DC,10000000,0
NQ46 Q3RH 4M70 27S3 LJNB 3RUG DKMP 36NA 0UP8,10649112819,954
NQ46 RC4S U56Y X7M1 5P2E XAP2 YU03 R832 B948,1739528624,121
NQ46 SA43 UKY7 AVMN 8964 167C RDRG 9BLB N0YF,69593800000,6255
NQ46 UKX5 BF3S 9RM8 31KA 1HQC SRRG JP5E DXSE,18169800000,1357.5
NQ46 YE5E TKL2 HK11 AGMV Y6LC LA5Y SMUV TVR1,53383839001,4797
NQ47 412U 0CDK 83L6 PUK1 VQTF NAER P1P9 SG6J,47263835742,4248
NQ47 95PX KMNN UET4 QUQK EVTS B6MB 5EEM EK47,844997026197,76041
NQ47 H3TN NNNM B5BS 925V 7G0B 9E6C VAUV XDRU,474800910,36
NQ47 LALX 77DU EYPT 3HHK FRLD 9441 PDG0 R3MP,10000000000,800
NQ47 U28T 45N4 7F9R F8E4 PDMF UT6L 3PGX 7MJT,100000000000,9000
NQ47 V3M7 VAE0 F8XS U7TD XN4D XBYJ Q187 SVBR,142984525859,12861
NQ48 866U AYPR UH3V DPV2 U2V0 GFB5 A5QL GCBS,140000000000,12600
NQ48 A9F0 KAMM QBES EXP0 T8D6 04U7 J4GJ JJVP,14505448140,596.5
NQ48 BGXK F06S KCEY GX0L 28S2 412K BKH9 2BK2,216100000,18
NQ48 FF8G UUUB BRYE QQG7 NQ2D 9HRV 5P9X V7CT,100485000000,6024
NQ48 HJV8 6HP6 7HLN LN8D NM53 6Y54 JCLU CSF5,1130000000,99
NQ48 JU4E 2LL4 3N4R PPLY 4NYR CH0Y F793 R8J1,15500000000,900
NQ48 KNNT F9FN 2LU3 71TL 4Y7N K8R4 NUUY 0AC4,200000000,16
NQ48 LQ93 P0FT N8SL HDV7 EQ98 0J3K 1ALU E94D,42508133338,3825
NQ48 NB3U KC1B G8EJ U95T 55Q4 3JVN JJMH 5046,100200000,14
NQ49 1R7L 1MXB 8PKH P04X 7J5S H8UY 4J5H 3HRD,102787918008,9241.5
NQ49 23Y2 G9MF SCHY YK5S 9339 XA1B G5JJ BSA3,67112993097,6039
NQ49 5DFS B4LH 0TTL BUT4 TBVR E7C2 DL3R 7L4D,15773900000,1048.5
NQ49 9XBD YLQ3 GUAD LDY1 0J16 6NX4 UD70 9L6T,400277166000,36018
NQ49 C4J8 JSTM XD46 PH1E 1M1J TNSU JNJK FJPE,199726608459,17362
NQ49 J68Y QY9K Q6X3 5PG8 PCAJ J99L U0XQ U0XK,171615931223,15444
NQ49 JMR4 A1Y7 PT9U 3CBV 57DU LA60 SRX6 4FCQ,23916810000,2151
NQ49 JRHY BX4X G77N E4N8 U0MA TPTE EH67 HAT5,10130100000,909
NQ49 KVBR T0PX UJ4A NY8Q P5SF G7AS RTJU HEPK,180590627738,15250.5
NQ49 N6M0 D26R M77P ERX7 188N 2RB9 23GP 6YMG,70000000000,5600
NQ49 PPJF 97LF 5QD5 3834 AYEX TC13 CAK2 BU4K,123274840119,11088
NQ49 QC96 3BSJ N9L1 MQ9S PBV7 N47T Q2Q0 1AR3,17368724909,1297.5
NQ49 R9QC EG1L EB9H H26S VSFF ASEJ K2X3 VQ5U,20000000000,1600
NQ50 0XFL LCXA 7Y4K 0YM5 JMU3 RAT5 PMKV UKUH,4421234854,396
NQ50 20L1 DBLA 8SFF QJQ0 1MMN 6L6Y DNE0 G7FB,500000000,37.5
NQ50 6CU4 VT05 XJ54 HCVS K745 A84G 78DR AUTM,68980000000,6201
NQ50 811P TTL6 EA89 503V PCK4 CPUR 9G22 9016,222053253,9
NQ50 8H0P AQBS AJVF Q2PN HLY2 P9SV P27H 3HSV,44601287909,4014
NQ50 9XTT BBEP 356F 0JAV 5AGE VBPG XQRP 2QHN,100280738000,9018
NQ50 DK89 7GHA 2V4Q DXAV EKX7 K6SV A34K 8TAM,257153542304,10284
NQ50 G3DB XK74 VPJR 4Q2E K6D7 AYYL RM3Q JQHH,738666998,52.5
NQ50 JGA1 7FLT 4039 XVFE CLM4 NMU8 APK3 MBK9,10603692219154,90000
NQ50 LF30 HHQG N0EL 1AP2 4UQU 93YH CAUV T1UG,44383260939,3544
NQ50 MPC3 77PA XHL3 F4UB C45K 5DEN XFM2 F483,101626514896,9144
NQ50 R72Y KYYV M4U4 4B4U NYNH 1V1M 3HQ1 3LTB,156840326463,16114
NQ50 V1HH TBCK MGD5 D6MC N32R JS5E 97BQ XMP3,38313400000,1528
NQ50 V7LU V6BM 6MUM TG5A KY6E N180 3QRU RAG5,19315729151,1737
NQ50 Y22K FMTG CXBB B118 K9KU 1LR5 PNHE L7GE,31300861952,2096.5
NQ51 0RG9 7G18 S80X UG3K HT1P AGR8 0MHQ E5JY,202086910000,15142.5
NQ51 D98X FMFG 26D1 RXHX 5F25 VY70 C7YP DXCU,3475500000,204
NQ51 E409 2EU0 H548 TCNX TLCJ MP5D 21J7 S6TR,3067399862,180
NQ51 EABU DL6Y S1SB SNT0 8TXB D8J9 FVHA F78E,1014230660,40
NQ51 KGXF 6VH8 QPX7 3MES YHA4 JUEG DGE7 P70D,983844353,81
NQ51 PSTX F595 6TPN SSL1 9DVV SN3C M97N T86X,1018300000,60
NQ51 R4DP 9E92 NV84 M3VC 2CBV 4YQF 0ULY N1N7,10000000000,800
NQ51 S27C C53M UGEP 9RE9 UNA1 9BEK EK27 QERT,125000000000,17500
NQ51 T7XQ BTKK 5AUK SCAN 7MPT SPC2 L39E T48A,1000000000000,90000
NQ51 UEN0 40PF KCQ6 1BL6 0N1L T3P9 HRXL C17D,7015900000,280
NQ51 UUT9 JK53 8L4X VGQS S83P T1BT 1THU KKY7,13474559977,740
NQ51 VKX2 BA7Q N2D3 J4LJ QNRH PTRP KSNR 40TS,150000000000,13500
NQ51 Y6YU PP9L 75M0 R8FS SBSA 2P16 9HKY D4R6,650000000,54
NQ52 37HJ 1V7V XKEK 1YUD KDCQ 9A74 D339 XUKL,60871161534,5472
NQ52 3FU2 SV4F S3LQ R92N 2J01 1FV2 GSVX S69L,10970754789,981
NQ52 4F9H H69E 66ST PPNP T6RR NEGJ LE4C PY3G,18828144964,1602
NQ52 4K2P KKJE UD4S NTA7 7XV0 LM3S PQBY Y087,79823500000,5985
NQ52 DL9T RUB4 3695 RG6N C45G 4T74 V46G XECU,100000000,0
NQ52 EXPS PMRN 1C32 6VNB H2ES T1UM JUDB BAXC,2000000000,120
NQ52 JKSD XEF7 4BET BLHM NG9T JR05 U0FA 1KC2,25973700000,3626
NQ52 KVCY S6H2 KFTN EDKE HRK5 9RC1 X780 V80X,33959396000,2542.5
NQ52 P5JM 7T15 VFSV 9G8S UEA1 7CRA JVAH U69F,100362017661,11064
NQ52 PA43 G4NL Q52N LMM5 159Y 8UHU JFYF 90A9,853282108850,63990
NQ52 S0L2 4863 GM2Q R8PK 7JCE MVHN 29DK C0QE,21311421600,1484
NQ52 TNF0 X42C 4XSA QF8X UF92 SP6H E9V0 42X3,33900000000,3051
NQ52 VXG8 MX3D C88U LXLU R3QX KJ6E L9Q1 1FCQ,97115072120,3884
NQ52 XQHV 4CMN F0EV QQHX XYPB RFJC YKS0 F7TH,679292226,54
NQ53 1E3G FRD3 PVFK QCBX DM4S AQSD 2G4Y S1LM,8833220000,352
NQ53 6GFF AAC9 UDPU JHVF MLTB JNCH 3KP8 3MCT,500045069138,20000
NQ53 AAUG C690 4C67 6Q0J 4N0B K81F B7FT QUF0,146622431520,20297.5
NQ53 BNFT 0HP2 UXPP XD30 YU3F KFRN DNJ1 9URM,53040131281,3180
NQ53 EQSN 52U1 XSUX Q56G 9X0F M3TX P1M9 L3JB,200009621,18
NQ53 HQ7B 0JAH THLV M2BK L8YK AP47 AHTR GG8K,13527600000,1080
NQ53 M0TS PK3H L95S AKQ2 T23L 1CAF 56D1 KUL2,12489395473,1107
NQ53 MX0T 6U1C NF11 D3T9 1U3C A2RP PBCF YMX3,1400000000,117
NQ53 NMXM 8K8P RYMN MXQ9 UTHF RTRH 8JMD A4KE,806446518594,20160
NQ53 PCG1 0XDY FQGL DV6Q 8A8H 72UQ 8TKK YHHF,1000000015228,140000
NQ53 PCLY SAMG E27D 3P41 E3AN Y84J RQFU TMGT,58061264952,6997.5
NQ53 PSQL 0V82 JBLJ FAN9 95XX Q057 1YTG U08S,10000000000,750
NQ53 V3DX 64KG F9UY SY1G HGSU XHGC 1V84 8BK3,37512100000,3375
NQ54 3ERL XP78 4YSV 5972 VUJS Y9QJ 26L0 FNRM,467806260259,18712
NQ54 5567 3CU2 TXQ1 PNFQ F3CE HALC L6LA CA7E,72620000000,10050
NQ54 5JRS RLGM SS79 DFUL J473 9SHF 2AGE AD6E,49865175312,3735
NQ54 8QKL Q1QP A6CD DRNM 2YGQ GVCQ LVSB G4N4,32918916388,3948
NQ54 CHRC 4F9J 2B8U R3UK T7NX T3FS T34D 1B9Q,415385900000,37377
NQ54 EXJ5 2PSB VQKH 3UU2 PDHQ KR4A M1G4 QJ00,160531555380,12037.5
NQ54 KH01 B090 M5D0 KAEH 7CAG 0P2R DAJ1 F5PC,528834960538,21152
NQ54 KHQ9 TXEV LCUJ Q1BQ KUQG FPMA 7FN2 VL8L,60000020198,5400
NQ54 L41R 7NUF 3BG2 GK1N G5LH 6A18 LMCH J27L,86842290958,7812
NQ54 PR6Y H53S 0RMC X07G VN40 XV1R XEQ2 033D,40446242773,1616
